gene	chr	X5SS	X3SS	strand	exon_go1	exon_go2	AFEPSI_go1	AFEPSI_go2	width	CPAbP	U1_dependent_CPAbP
ENSG00000037241	5	172959007	172959424	+	5:172958893-172959007	5:172959424-172959514	0.192350582401358	0.468767503858881	417	N	N
ENSG00000037749	5	154039308	154049557	+	5:154038906-154039308	5:154049557-154050017	0.866666666666667	0.8	10249	Y	N
ENSG00000037757	19	13764720	13764871	+	19:13764522-13764720	19:13764871-13765109	0.743022442621909	0.769406828151821	151	N	N
ENSG00000038274	5	163503424	163505584	+	5:163503114-163503424	5:163505584-163505749	0.146710073961405	0.853289926038595	2160	Y	N
ENSG00000038295	4	165874073	166099277	+	4:165873237-165874073	4:166099277-166099527	1	1	225204	Y	N
ENSG00000039123	5	55308147	55347013	+	5:55307989-55308147	5:55347013-55347144	0.839995556516309	0.383562713167123	38866	Y	Y
ENSG00000039560	5	34656696	34826004	+	5:34656328-34656696	5:34826004-34826479	0.634021471006007	0.494844508375436	169308	Y	Y
ENSG00000040933	2	98445085	98518964	+	2:98444854-98445085	2:98518964-98519025	0.569316648264017	0.677156177156177	73879	Y	Y
ENSG00000042088	14	89955970	89955993	+	14:89955902-89955970	14:89955993-89956278	0.422442464744674	0.375574735446439	23	N	N
ENSG00000044459	9	17135425	17340827	+	9:17134982-17135425	9:17340827-17340948	0.929292929292929	0.424242424242424	205402	Y	N
ENSG00000046604	18	31498296	31518239	+	18:31498177-31498296	18:31518239-31518274	0.661505235975575	0.389342221651544	19943	Y	N
ENSG00000046651	X	13735083	13739002	+	X:13734745-13735083	X:13739002-13739314	0.836553287981859	0.36734693877551	3919	N	N
ENSG00000047188	5	113514082	113540968	+	5:113513694-113514082	5:113540968-113541116	0.865546218487395	0.53781512605042	26886	Y	N
ENSG00000047315	4	56979004	57017043	+	4:56978640-56979004	4:57017043-57017241	0.556641118836915	0.677408607248209	38039	Y	N
ENSG00000047578	16	27550177	27573901	+	16:27550133-27550177	16:27573901-27574295	0.599350860590288	0.542375446067704	23724	Y	N
ENSG00000048342	4	15479328	15563310	+	4:15479216-15479328	4:15563310-15563522	0.913333333333333	0.52	83982	Y	Y
ENSG00000048707	1	12230120	12234191	+	1:12230030-12230120	1:12234191-12234363	1	1	4071	N	N
ENSG00000049245	1	7771385	7772707	+	1:7771296-7771385	1:7772707-7773198	0.891079790744665	0.108920209255335	1322	N	N
ENSG00000049759	18	58044708	58221535	+	18:58044226-58044708	18:58221535-58221757	0.225695036484362	0.454992131088925	176827	Y	Y
ENSG00000050327	7	144355501	144367102	+	7:144355288-144355501	7:144367102-144367355	0.80858843537415	0.461989795918367	11601	N	N
ENSG00000051620	6	138404597	138405971	+	6:138404223-138404597	6:138405971-138406151	0.835365853658537	0.658536585365854	1374	Y	N
ENSG00000052126	12	19129888	19265750	+	12:19129752-19129888	12:19265750-19265850	0.92156862745098	0.313725490196078	135862	Y	Y
ENSG00000052841	11	43359113	43397974	+	11:43358920-43359113	11:43397974-43398113	0.873287671232877	0.506849315068493	38861	Y	N
ENSG00000053372	1	19252248	19255948	+	1:19251805-19252248	1:19255948-19256052	0.822594501718213	0.709621993127148	3700	Y	N
ENSG00000053501	19	17215507	17215720	+	19:17215346-17215507	19:17215720-17216070	1	1	213	N	N
ENSG00000053900	4	25377556	25394671	+	4:25377213-25377556	4:25394671-25394713	0.894179894179894	0.285714285714286	17115	Y	N
ENSG00000054654	14	63853143	64001934	+	14:63852983-63853143	14:64001934-64002081	0.562289562289562	0.585858585858586	148791	Y	Y
ENSG00000055044	2	202265986	202278131	+	2:202265736-202265986	2:202278131-202278329	0.974315068493151	0.0993150684931507	12145	Y	Y
ENSG00000055130	7	148698763	148698857	+	7:148698593-148698763	7:148698857-148699029	0.0528301886792453	0.986792452830189	94	N	N
ENSG00000055208	6	149318015	149342657	+	6:149317712-149318015	6:149342657-149342833	1	1	24642	Y	N
ENSG00000055211	6	149566534	149572507	+	6:149566294-149566534	6:149572507-149572603	0.894444444444444	0.633333333333333	5973	N	N
ENSG00000056736	3	53846648	53848664	+	3:53846568-53846648	3:53848664-53848688	0.555555555555556	0.722222222222222	2016	N	N
ENSG00000057935	2	42568773	42570437	+	2:42568517-42568773	2:42570437-42570504	0.685201412371441	0.475441157909683	1664	N	N
ENSG00000058600	16	22297537	22302470	+	16:22297375-22297537	16:22302470-22303004	0.192625983454088	0.301587301587302	4933	Y	N
ENSG00000058673	1	203795794	203818570	+	1:203795654-203795794	1:203818570-203818689	0.912545787545788	0.524725274725275	22776	Y	N
ENSG00000060339	10	68721663	68765888	+	10:68721012-68721663	10:68765888-68766079	0.539452673364404	0.460547326635596	44225	Y	N
ENSG00000060558	19	3151835	3157728	+	19:3151707-3151835	19:3157728-3157881	1	1	5893	N	N
ENSG00000061936	12	131714953	131719454	+	12:131711081-131714953	12:131719454-131719539	0.342237732432675	0.79164204898809	4501	Y	N
ENSG00000062822	19	50384390	50403053	+	19:50384204-50384390	19:50403053-50403219	0.917898193760263	0.492610837438424	18663	Y	N
ENSG00000063438	5	321819	376610	+	5:321759-321819	5:376610-376716	0.744470727380248	0.763690124186872	54791	Y	Y
ENSG00000064012	2	201233622	201258036	+	2:201233443-201233622	2:201258036-201258382	0.761246534853358	0.238753465146642	24414	Y	N
ENSG00000064042	4	41359803	41360631	+	4:41359607-41359803	4:41360631-41360936	0.0496291858044408	0.407641747119842	828	Y	N
ENSG00000064687	19	1052286	1064931	+	19:1052214-1052286	19:1064931-1065171	0.778350515463918	0.721649484536082	12645	Y	N
ENSG00000065029	6	35259727	35259735	+	6:35259471-35259727	6:35259735-35259841	0.318907980479822	0.76291020133836	8	N	N
ENSG00000065054	16	2027218	2033264	+	16:2026902-2027218	16:2033264-2033432	0.818625149158121	0.181374850841879	6046	N	N
ENSG00000065357	12	55932255	55941510	+	12:55931789-55932255	12:55941510-55941584	1	1	9255	Y	Y
ENSG00000065526	1	15848150	15873502	+	1:15847707-15848150	1:15873502-15874395	0.654087553611438	0.345912446388562	25352	Y	N
ENSG00000065548	2	186486457	186505091	+	2:186486253-186486457	2:186505091-186505597	0.498809845830252	0.598911976711714	18634	Y	N
ENSG00000065615	6	83859857	83918005	+	6:83859656-83859857	6:83918005-83918065	0.545582130234449	0.527947281530257	58148	Y	N
ENSG00000065911	2	74198742	74209942	+	2:74198610-74198742	2:74209942-74210051	0.570243564482934	0.569309864544179	11200	Y	Y
ENSG00000065978	1	42682731	42700781	+	1:42682418-42682731	1:42700781-42701046	0.373121863458327	0.626878136541673	18050	Y	Y
ENSG00000065989	19	10421084	10430845	+	19:10420538-10421084	19:10430845-10431086	0.753609913793103	0.346390086206897	9761	N	N
ENSG00000066084	12	50505240	50692949	+	12:50504985-50505240	12:50692949-50693013	0.901826484018265	0.589041095890411	187709	Y	N
ENSG00000066697	9	100427393	100427429	+	9:100427156-100427393	9:100427429-100427570	0.698942738014746	0.301057261985254	36	N	N
ENSG00000066735	14	104138764	104139040	+	14:104138723-104138764	14:104139040-104139288	0.757079565177674	0.817073170731707	276	N	N
ENSG00000067365	16	8621775	8641131	+	16:8621683-8621775	16:8641131-8641184	0.85	0.6	19356	Y	N
ENSG00000067606	1	2050701	2104716	+	1:2050411-2050701	1:2104716-2104895	0.32843137254902	0.890522875816993	54015	Y	Y
ENSG00000068383	10	132538171	132607915	+	10:132537787-132538171	10:132607915-132607956	0.888297872340426	0.446808510638298	69744	Y	N
ENSG00000068650	13	112690455	112857818	+	13:112690329-112690455	13:112857818-112859452	0.577532541029994	0.650537634408602	167363	Y	N
ENSG00000068971	11	64925028	64926712	+	11:64924689-64925028	11:64926712-64926908	1	1	1684	N	N
ENSG00000069424	1	5992788	6026013	+	1:5992262-5992788	1:6026013-6026445	0.379920678097305	0.620079321902695	33225	Y	Y
ENSG00000069849	3	141876910	141877529	+	3:141876616-141876910	3:141877529-141877562	0.993166287015945	0.0273348519362187	619	N	N
ENSG00000069943	15	55319413	55341738	+	15:55318960-55319413	15:55341738-55341802	1	1	22325	Y	Y
ENSG00000069956	15	52019376	52019922	+	15:52019219-52019376	15:52019922-52020032	0.934510436140959	0.112882783288561	546	N	N
ENSG00000070047	11	576592	605119	+	11:576470-576592	11:605119-605300	0.42142095576881	0.497860420749409	28527	Y	Y
ENSG00000070269	14	56580074	56618594	+	14:56579798-56580074	14:56618594-56618763	1	1	38520	Y	N
ENSG00000070501	8	42338685	42350007	+	8:42338454-42338685	8:42350007-42350065	0.914565826330532	0.512605042016807	11322	Y	N
ENSG00000070614	5	150486003	150486294	+	5:150485818-150486003	5:150486294-150486407	0.850584795321637	0.298830409356725	291	N	N
ENSG00000070814	5	150357854	150398354	+	5:150357629-150357854	5:150398354-150398451	0.547527378116064	0.245682527892781	40500	Y	N
ENSG00000070831	1	22025639	22052627	+	1:22025511-22025639	1:22052627-22052868	0.0451938598881338	0.972874084548687	26988	Y	Y
ENSG00000071243	7	120950924	120969011	+	7:120950763-120950924	7:120969011-120969204	0.615632529525615	0.459020248252163	18087	Y	N
ENSG00000071539	5	893090	893642	+	5:892884-893090	5:893642-893720	0.960425983881976	0.0395740161180236	552	N	N
ENSG00000071626	19	1407802	1409824	+	19:1407569-1407802	19:1409824-1410079	0.995098039215686	0.0196078431372549	2022	N	N
ENSG00000071859	X	154444346	154448484	+	X:154444141-154444346	X:154448484-154448560	0.741537895511405	0.6280353200883	4138	Y	Y
ENSG00000072135	2	130356200	130371998	+	2:130356045-130356200	2:130371998-130372483	0.784722222222222	0.822916666666667	15798	Y	N
ENSG00000072401	10	58335225	58361495	+	10:58334979-58335225	10:58361495-58361526	0.921428571428571	0.314285714285714	26270	Y	N
ENSG00000072518	11	63839560	63903061	+	11:63838928-63839560	11:63903061-63903403	0.304513289890885	0.695486710109115	63501	Y	N
ENSG00000072756	3	3128018	3129014	+	3:3126933-3128018	3:3129014-3129496	0.151162790697674	0.962209302325581	996	N	N
ENSG00000072840	4	5711554	5719248	+	4:5711201-5711554	4:5719248-5719373	1	1	7694	N	N
ENSG00000073150	22	50170956	50176939	+	22:50170731-50170956	22:50176939-50178402	0.761904761904762	0.714285714285714	5983	Y	N
ENSG00000073350	17	75525825	75532493	+	17:75525726-75525825	17:75532493-75532566	0.947368421052632	0.210526315789474	6668	Y	N
ENSG00000073969	17	46590787	46640643	+	17:46590669-46590787	17:46640643-46640718	0.393769853518913	0.339363974164702	49856	N	N
ENSG00000075218	22	46296931	46313890	+	22:46296870-46296931	22:46313890-46314013	0.785904255319149	0.856382978723404	16959	Y	N
ENSG00000075292	2	71276754	71331728	+	2:71276561-71276754	2:71331728-71331875	0.18090502988566	0.671488915113724	54974	Y	Y
ENSG00000075420	3	172039771	172040554	+	3:172039578-172039771	3:172040554-172040624	0.832373344023701	0.106593792126534	783	N	N
ENSG00000075790	7	107580301	107580306	+	7:107579977-107580301	7:107580306-107580864	0.307644612332112	0.692355387667888	5	N	N
ENSG00000076513	12	109999319	109999430	+	12:109999186-109999319	12:109999430-109999784	0.294117647058824	0.950980392156863	111	N	N
ENSG00000076555	12	109154940	109174132	+	12:109154682-109154940	12:109174132-109174230	0.541666666666667	0.729166666666667	19192	Y	N
ENSG00000076928	19	41883289	41884370	+	19:41883161-41883289	19:41884370-41884493	0.765126652882908	0.234873347117092	1081	Y	N
ENSG00000077044	2	233354674	233419241	+	2:233354507-233354674	2:233419241-233419421	0.806875951411777	0.193124048588223	64567	Y	N
ENSG00000077150	10	102394774	102395693	+	10:102394110-102394774	10:102395693-102395980	0.131185493566557	0.868814506433443	919	N	N
ENSG00000077380	2	171687627	171687672	+	2:171687409-171687627	2:171687672-171687873	0.452660565044044	0.192970360714857	45	N	N
ENSG00000077684	4	128809877	128811270	+	4:128809700-128809877	4:128811270-128811403	0.735878977763036	0.264121022236964	1393	Y	N
ENSG00000077713	X	119399678	119406460	+	X:119399336-119399678	X:119406460-119406701	0.795833333333333	0.816666666666667	6782	N	N
ENSG00000078246	12	2877282	2890887	+	12:2877223-2877282	12:2890887-2890988	0.470101402509392	0.529898597490608	13605	Y	N
ENSG00000078269	6	157982088	158089839	+	6:157981863-157982088	6:158089839-158089947	0.881753663003663	0.354739010989011	107751	Y	N
ENSG00000078304	14	101761920	101762905	+	14:101761798-101761920	14:101762905-101762970	0.108755038647013	0.157382922115993	985	N	N
ENSG00000078403	10	21534520	21740030	+	10:21534232-21534520	10:21740030-21740236	0.783746556473829	0.524793388429752	205510	Y	Y
ENSG00000078668	8	42391928	42393811	+	8:42391624-42391928	8:42393811-42393884	0.655556504603169	0.344443495396831	1883	N	N
ENSG00000078674	8	17923188	17924713	+	8:17922840-17923188	8:17924713-17927953	0.449685710156019	0.305418719211823	1525	Y	N
ENSG00000078699	20	33490301	33629719	+	20:33490075-33490301	20:33629719-33629914	0.775	0.45	139418	N	N
ENSG00000078747	20	34363349	34534628	+	20:34363241-34363349	20:34534628-34534795	0.862643678160919	0.824137931034483	171279	Y	Y
ENSG00000079432	19	42269381	42284020	+	19:42269224-42269381	19:42284020-42284771	0.36199182165436	0.63800817834564	14639	Y	N
ENSG00000079691	6	25279835	25420114	+	6:25279374-25279835	6:25420114-25420164	0.936	0.384	140279	Y	Y
ENSG00000080345	2	151410527	151456578	+	2:151409883-151410527	2:151456578-151456620	0.833575683869148	0.406633354483926	46051	Y	Y
ENSG00000080503	9	2017799	2047229	+	9:2017412-2017799	9:2047229-2047954	0.578571428571429	1	29430	Y	N
ENSG00000080603	16	30698461	30699171	+	16:30698209-30698461	16:30699171-30699242	0.568695512919326	0.207651912978245	710	N	N
ENSG00000080815	14	73147876	73197710	+	14:73147492-73147876	14:73197710-73198129	0.723510582701855	0.552978834596289	49834	Y	N
ENSG00000081154	3	101574279	101579589	+	3:101574180-101574279	3:101579589-101580004	0.353979353979354	0.773004773004773	5310	Y	Y
ENSG00000081307	3	132661048	132665739	+	3:132659466-132661048	3:132665739-132665868	0.755266010482073	0.325902820686758	4691	Y	N
ENSG00000081913	18	62717259	62975397	+	18:62715541-62717259	18:62975397-62975625	0.82051282051282	0.538461538461538	258138	Y	N
ENSG00000082068	5	37379392	37437922	+	5:37379285-37379392	5:37437922-37437981	0.925196850393701	0.448818897637795	58530	Y	Y
ENSG00000082153	2	200811990	200812356	+	2:200811546-200811990	2:200812356-200812493	0.996602296414795	0.0101931107556147	366	N	N
ENSG00000082269	6	70413702	70491034	+	6:70413308-70413702	6:70491034-70491083	0.79031862745098	0.497794117647059	77332	Y	N
ENSG00000082512	1	211326889	211356367	+	1:211326698-211326889	1:211356367-211360779	0.778369652945924	0.67183212267958	29478	N	N
ENSG00000082641	17	48048462	48048478	+	17:48048359-48048462	17:48048478-48048548	0.604710229355972	0.128675259557369	16	N	N
ENSG00000083123	6	80106889	80203102	+	6:80106647-80106889	6:80203102-80203212	0.887323943661972	0.676056338028169	96213	Y	N
ENSG00000083312	5	72816752	72848170	+	5:72816312-72816752	5:72848170-72848251	0.144284328352907	0.855715671647093	31418	Y	Y
ENSG00000083444	1	11934855	11954301	+	1:11934694-11934855	1:11954301-11954893	0.451533929556309	0.548466070443691	19446	Y	N
ENSG00000083828	19	57769878	57819568	+	19:57769655-57769878	19:57819568-57819939	0.422421393095613	0.688309200511693	49690	Y	N
ENSG00000084070	1	40374223	40413977	+	1:40373727-40374223	1:40413977-40414240	0.859794812233837	0.346806039488966	39754	Y	Y
ENSG00000084652	1	32179776	32190055	+	1:32179675-32179776	1:32190055-32190249	0.875718390804598	0.745689655172414	10279	Y	N
ENSG00000085511	6	160992083	161102699	+	6:160991727-160992083	6:161102699-161102779	0.6169691913574	0.726227795193312	110616	Y	N
ENSG00000085733	11	70398614	70431191	+	11:70398404-70398614	11:70431191-70431280	0.668933385095979	0.435476816816879	32577	Y	N
ENSG00000086061	9	33025383	33030440	+	9:33025273-33025383	9:33030440-33030667	0.618436304644117	0.381563695355883	5057	Y	Y
ENSG00000086666	15	80059809	80072564	+	15:80059568-80059809	15:80072564-80072647	0.846262218526779	0.115905948477284	12755	Y	N
ENSG00000086712	X	16786589	16818574	+	X:16786432-16786589	X:16818574-16818877	0.223039552071207	0.776960447928793	31985	Y	Y
ENSG00000087087	7	100875328	100884368	+	7:100875103-100875328	7:100884368-100884552	0.22022104405375	0.593366520421336	9040	Y	N
ENSG00000087274	4	2844024	2926285	+	4:2843857-2844024	4:2926285-2926675	0.973021582733813	0.107913669064748	82261	Y	Y
ENSG00000087365	11	66052517	66058607	+	11:66051893-66052517	11:66058607-66059045	0.302672735760971	0.14819944598338	6090	Y	N
ENSG00000087460	20	58889549	58891302	+	20:58889100-58889549	20:58891302-58891865	0.504350917296587	0.847975025753412	1753	Y	N
ENSG00000088367	20	36092813	36154740	+	20:36092680-36092813	20:36154740-36154896	0.413793103448276	0.896551724137931	61927	Y	N
ENSG00000088756	18	6729943	6824762	+	18:6729718-6729943	18:6824762-6824964	1	1	94819	Y	Y
ENSG00000088826	20	4148977	4182089	+	20:4148779-4148977	20:4182089-4182848	1	1	33112	Y	N
ENSG00000088930	20	21303473	21340721	+	20:21303331-21303473	20:21340721-21340852	0.242701695801286	0.441402575360717	37248	Y	Y
ENSG00000089022	12	111842769	111865250	+	12:111842228-111842769	12:111865250-111865323	0.888576779026217	0.668539325842697	22481	Y	N
ENSG00000089280	16	31180227	31184939	+	16:31180110-31180227	16:31184939-31188357	0.54721688588187	0.542697564261106	4712	Y	N
ENSG00000089327	19	35155611	35160709	+	19:35154730-35155611	19:35160709-35160801	0.364039706877513	0.635960293122487	5098	Y	N
ENSG00000089351	19	35000486	35012988	+	19:35000287-35000486	19:35012988-35013691	0.81640625	0.734375	12502	Y	N
ENSG00000090006	19	40597380	40601371	+	19:40597235-40597380	19:40601371-40601637	0.760869565217391	0.478260869565217	3991	Y	N
ENSG00000090060	14	96502600	96520055	+	14:96502373-96502600	14:96520055-96520228	0.557171673539801	0.756851901621215	17455	Y	N
ENSG00000090266	7	140696842	140697224	+	7:140696671-140696842	7:140697224-140697391	0.994791666666667	0.03125	382	N	N
ENSG00000090273	1	26921929	26945135	+	1:26921743-26921929	1:26945135-26945686	0.104707229961453	0.895292770038547	23206	Y	Y
ENSG00000090520	3	186570965	186582716	+	3:186570163-186570965	3:186582716-186582773	0.958994708994709	0.164021164021164	11751	Y	N
ENSG00000090565	16	426720	502750	+	16:425649-426720	16:502750-503097	0.896825396825397	0.619047619047619	76030	Y	N
ENSG00000090661	19	8209494	8210683	+	19:8209303-8209494	19:8210683-8210862	1	1	1189	N	N
ENSG00000090889	X	70290335	70386618	+	X:70290104-70290335	X:70386618-70386701	0.372486322572438	0.64801962312203	96283	Y	N
ENSG00000090905	16	24729846	24822874	+	16:24729651-24729846	16:24822874-24823013	0.838652482269504	0.645390070921986	93028	Y	Y
ENSG00000091009	5	146203824	146269420	+	5:146203605-146203824	5:146269420-146269584	0.821377857879179	0.52659047931131	65596	Y	Y
ENSG00000091073	7	76461836	76504356	+	7:76461676-76461836	7:76504356-76504445	0.847560975609756	0.609756097560976	42520	Y	N
ENSG00000091527	3	133574284	133584002	+	3:133573730-133574284	3:133584002-133584150	0.439070071679997	0.744073147584896	9718	Y	N
ENSG00000092108	14	30622462	30628209	+	14:30622311-30622462	14:30628209-30628279	0.811868686868687	0.564393939393939	5747	Y	N
ENSG00000092964	8	26578293	26626617	+	8:26577843-26578293	8:26626617-26626678	0.892276422764228	0.430894308943089	48324	Y	N
ENSG00000095319	9	128947751	128948959	+	9:128947699-128947751	9:128948959-128949243	0.487593870603062	0.512406129396938	1208	Y	N
ENSG00000095787	10	28533007	28533118	+	10:28532493-28533007	10:28533118-28533620	0.244270070326408	0.755729929673592	111	N	N
ENSG00000095794	10	35127193	35195127	+	10:35126791-35127193	10:35195127-35195214	0.431482821127092	0.482154745010474	67934	Y	Y
ENSG00000095906	16	1783506	1784711	+	16:1782932-1783506	16:1784711-1787831	0.337706023258509	0.799494713389741	1205	N	N
ENSG00000095951	6	12008875	12012000	+	6:12008762-12008875	6:12012000-12012054	0.529411764705882	0.804621848739496	3125	Y	Y
ENSG00000096401	6	44387868	44390268	+	6:44387706-44387868	6:44390268-44390371	0.150672940749055	0.464664615136071	2400	N	N
ENSG00000097007	9	130714455	130835254	+	9:130713016-130714455	9:130835254-130835525	0.463539770731552	0.536460229268448	120799	Y	N
ENSG00000097046	1	91500948	91501108	+	1:91500851-91500948	1:91501108-91501482	0.975945017182131	0.144329896907216	160	N	N
ENSG00000099290	10	50068008	50087275	+	10:50067888-50068008	10:50087275-50087322	0.373996295827282	0.192592592592593	19267	Y	N
ENSG00000099381	16	30957964	30965601	+	16:30957754-30957964	16:30965601-30966386	0.859848484848485	0.840909090909091	7637	Y	N
ENSG00000099783	19	8445111	8455405	+	19:8444767-8445111	19:8455405-8455574	0.0232225493652159	0.0712038546761988	10294	N	N
ENSG00000099785	19	8413420	8413422	+	19:8413270-8413420	19:8413422-8413794	0.518518518518518	0.481481481481481	2	N	N
ENSG00000099901	22	20117664	20117782	+	22:20117424-20117664	22:20117782-20118313	0.97426395274211	0.0257360472578901	118	N	N
ENSG00000099917	22	20507746	20566465	+	22:20507541-20507746	22:20566465-20566817	0.710742430229828	0.431850162362765	58719	Y	N
ENSG00000099968	22	17638886	17706710	+	22:17638102-17638886	22:17706710-17706825	0.909653220438587	0.262521262710154	67824	Y	Y
ENSG00000099991	22	24011367	24011416	+	22:24011192-24011367	22:24011416-24011728	0.259486679662118	0.607797270955166	49	N	N
ENSG00000100142	22	37953860	37956773	+	22:37953697-37953860	22:37956773-37956901	0.658390422713107	0.683219154573786	2913	N	N
